OKC,OKC @ MEM,12/09/2017,,W,53,45.7%,0.337,10.0,31.4%,51.7%,0.193,15.4,30.2%,
BKN,BKN vs. MIA,12/09/2017,,L,48,45.1%,0.235,14.7,18.2%,51.1%,0.156,6.4,18.6%,
CLE,CLE vs. PHI,12/09/2017,,W,48,57.3%,0.320,18.5,15.8%,54.5%,0.167,19.8,20.6%,
LAL,LAL @ CHA,12/09/2017,,W,48,55.9%,0.247,13.7,15.0%,48.4%,0.151,10.9,18.4%,
ATL,ATL vs. ORL,12/09/2017,,W,48,61.9%,0.313,12.8,23.7%,56.0%,0.087,12.3,24.4%,
POR,POR vs. HOU,12/09/2017,,L,48,61.4%,0.136,15.6,20.0%,60.0%,0.560,12.2,21.2%,
WAS,WAS @ LAC,12/09/2017,,L,48,59.1%,0.280,14.4,23.7%,57.5%,0.300,10.4,10.3%,
MIL,MIL vs. UTA,12/09/2017,,W,48,58.6%,0.321,11.5,23.5%,48.7%,0.487,16.1,21.4%,
LAC,LAC vs. WAS,12/09/2017,,W,48,57.5%,0.300,10.4,10.3%,59.1%,0.280,14.4,23.7%,
CHA,CHA vs. LAL,12/09/2017,,L,48,48.4%,0.151,10.9,18.4%,55.9%,0.247,13.7,15.0%,
ORL,ORL @ ATL,12/09/2017,,L,48,56.0%,0.087,12.3,24.4%,61.9%,0.313,12.8,23.7%,
UTA,UTA @ MIL,12/09/2017,,L,48,48.7%,0.487,16.1,21.4%,58.6%,0.321,11.5,23.5%,
PHI,PHI @ CLE,12/09/2017,,L,48,54.5%,0.167,19.8,20.6%,57.3%,0.320,18.5,15.8%,
SAS,SAS @ PHX,12/09/2017,,W,48,49.4%,0.287,15.8,37.5%,48.1%,0.375,11.7,22.7%,
DET,DET vs. GSW,12/08/2017,,L,48,47.8%,0.207,13.2,27.3%,52.5%,0.272,14.0,12.8%,
CHI,CHI @ CHA,12/08/2017,,W,53,51.5%,0.222,12.0,12.8%,45.0%,0.290,9.6,15.3%,
TOR,TOR @ MEM,12/08/2017,,W,48,55.8%,0.423,11.8,29.4%,55.5%,0.268,17.4,29.7%,
IND,IND vs. CLE,12/08/2017,,W,48,52.9%,0.279,10.6,25.5%,49.4%,0.256,12.2,19.1%,
BOS,BOS @ SAS,12/08/2017,,L,48,52.4%,0.205,15.0,25.6%,51.9%,0.296,14.4,33.3%,
CLE,CLE @ IND,12/08/2017,,L,48,49.4%,0.256,12.2,19.1%,52.9%,0.279,10.6,25.5%,
CHA,CHA vs. CHI,12/08/2017,,L,53,45.0%,0.290,9.6,15.3%,51.5%,0.222,12.0,12.8%,
SAS,SAS vs. BOS,12/08/2017,,W,48,51.9%,0.296,14.4,33.3%,52.4%,0.205,15.0,25.6%,
MEM,MEM vs. TOR,12/08/2017,,L,48,55.5%,0.268,17.4,29.7%,55.8%,0.423,11.8,29.4%,
GSW,GSW @ DET,12/08/2017,,W,48,52.5%,0.272,14.0,12.8%,47.8%,0.207,13.2,27.3%,
DEN,DEN @ ORL,12/08/2017,,W,48,52.9%,0.188,13.1,16.2%,42.8%,0.277,15.4,22.4%,
DAL,DAL @ MIL,12/08/2017,,L,48,53.3%,0.347,12.7,10.8%,50.6%,0.430,10.3,17.9%,
ORL,ORL vs. DEN,12/08/2017,,L,48,42.8%,0.277,15.4,22.4%,52.9%,0.188,13.1,16.2%,
NOP,NOP vs. SAC,12/08/2017,,L,53,51.7%,0.213,15.8,16.7%,55.2%,0.144,17.8,28.2%,
MIL,MIL vs. DAL,12/08/2017,,W,48,50.6%,0.430,10.3,17.9%,53.3%,0.347,12.7,10.8%,
SAC,SAC @ NOP,12/08/2017,,W,53,55.2%,0.144,17.8,28.2%,51.7%,0.213,15.8,16.7%,
OKC,OKC @ BKN,12/07/2017,,L,48,42.3%,0.235,11.6,28.8%,50.6%,0.375,15.7,15.9%,
WAS,WAS @ PHX,12/07/2017,,W,48,55.6%,0.309,11.6,20.0%,50.6%,0.359,14.8,25.0%,
LAL,LAL @ PHI,12/07/2017,,W,48,49.5%,0.250,11.6,28.8%,54.3%,0.259,17.8,19.4%,
HOU,HOU @ UTA,12/07/2017,,W,48,58.0%,0.296,16.9,22.2%,51.3%,0.351,13.3,9.5%,
PHX,PHX vs. WAS,12/07/2017,,L,48,50.6%,0.359,14.8,25.0%,55.6%,0.309,11.6,20.0%,
PHI,PHI vs. LAL,12/07/2017,,L,48,54.3%,0.259,17.8,19.4%,49.5%,0.250,11.6,28.8%,
UTA,UTA vs. HOU,12/07/2017,,L,48,51.3%,0.351,13.3,9.5%,58.0%,0.296,16.9,22.2%,
BKN,BKN vs. OKC,12/07/2017,,W,48,50.6%,0.375,15.7,15.9%,42.3%,0.235,11.6,28.8%,
IND,IND vs. CHI,12/06/2017,,W,48,51.7%,0.115,13.3,16.7%,53.0%,0.193,16.8,25.6%,
ATL,ATL @ ORL,12/06/2017,,L,53,48.9%,0.215,17.3,22.0%,50.0%,0.184,15.5,25.5%,
GSW,GSW @ CHA,12/06/2017,,W,48,54.2%,0.155,15.5,18.6%,38.1%,0.175,11.7,26.4%,
DEN,DEN @ NOP,12/06/2017,,L,48,52.1%,0.234,8.8,20.8%,60.5%,0.337,12.9,26.8%,
LAC,LAC vs. MIN,12/06/2017,,L,48,49.5%,0.152,9.2,30.9%,59.1%,0.256,15.3,23.5%,
ORL,ORL vs. ATL,12/06/2017,,W,53,50.0%,0.184,15.5,25.5%,48.9%,0.215,17.3,22.0%,
SAC,SAC @ CLE,12/06/2017,,L,48,51.2%,0.151,14.5,20.0%,56.4%,0.269,15.7,16.3%,
CHI,CHI @ IND,12/06/2017,,L,48,53.0%,0.193,16.8,25.6%,51.7%,0.115,13.3,16.7%,
NOP,NOP vs. DEN,12/06/2017,,W,48,60.5%,0.337,12.9,26.8%,52.1%,0.234,8.8,20.8%,
NYK,NYK vs. MEM,12/06/2017,,W,48,59.0%,0.403,20.7,30.3%,50.0%,0.314,16.5,11.1%,
MIL,MIL vs. DET,12/06/2017,,W,48,54.4%,0.329,13.4,31.0%,47.1%,0.310,12.8,37.8%,
DET,DET @ MIL,12/06/2017,,L,48,47.1%,0.310,12.8,37.8%,54.4%,0.329,13.4,31.0%,
MIN,MIN @ LAC,12/06/2017,,W,48,59.1%,0.256,15.3,23.5%,49.5%,0.152,9.2,30.9%,
SAS,SAS vs. MIA,12/06/2017,,W,48,60.3%,0.161,11.7,30.3%,66.7%,0.167,21.0,20.0%,
CLE,CLE vs. SAC,12/06/2017,,W,48,56.4%,0.269,15.7,16.3%,51.2%,0.151,14.5,20.0%,
BOS,BOS vs. DAL,12/06/2017,,W,48,48.3%,0.195,12.3,18.8%,44.8%,0.198,11.2,12.0%,
DAL,DAL @ BOS,12/06/2017,,L,48,44.8%,0.198,11.2,12.0%,48.3%,0.195,12.3,18.8%,
CHA,CHA vs. GSW,12/06/2017,,L,48,38.1%,0.175,11.7,26.4%,54.2%,0.155,15.5,18.6%,
MEM,MEM @ NYK,12/06/2017,,L,48,50.0%,0.314,16.5,11.1%,59.0%,0.403,20.7,30.3%,
MIA,MIA @ SAS,12/06/2017,,L,48,66.7%,0.167,21.0,20.0%,60.3%,0.161,11.7,30.3%,
UTA,UTA @ OKC,12/05/2017,,L,48,50.0%,0.266,18.5,20.9%,50.6%,0.321,19.1,31.6%,
OKC,OKC vs. UTA,12/05/2017,,W,48,50.6%,0.321,19.1,31.6%,50.0%,0.266,18.5,20.9%,
WAS,WAS @ POR,12/05/2017,,W,48,53.4%,0.157,10.6,24.4%,48.7%,0.269,19.1,17.5%,
POR,POR vs. WAS,12/05/2017,,L,48,48.7%,0.269,19.1,17.5%,53.4%,0.157,10.6,24.4%,
PHX,PHX @ TOR,12/05/2017,,L,48,55.3%,0.507,15.6,0.0%,56.0%,0.283,15.9,18.6%,
TOR,TOR vs. PHX,12/05/2017,,W,48,56.0%,0.283,15.9,18.6%,55.3%,0.507,15.6,0.0%,
GSW,GSW @ NOP,12/04/2017,,W,48,60.9%,0.310,15.3,12.2%,58.2%,0.165,19.5,23.9%,
ORL,ORL @ CHA,12/04/2017,,L,48,50.0%,0.171,19.4,10.9%,42.3%,0.476,14.2,23.9%,
CHI,CHI vs. CLE,12/04/2017,,L,48,47.0%,0.220,12.1,19.6%,59.9%,0.210,8.7,13.2%,
NYK,NYK @ IND,12/04/2017,,L,48,47.3%,0.176,17.8,28.8%,59.9%,0.174,15.7,20.0%,
DAL,DAL vs. DEN,12/04/2017,,W,48,64.0%,0.198,7.3,12.8%,49.5%,0.253,7.5,28.8%,
NOP,NOP vs. GSW,12/04/2017,,L,48,58.2%,0.165,19.5,23.9%,60.9%,0.310,15.3,12.2%,
WAS,WAS @ UTA,12/04/2017,,L,48,31.3%,0.288,14.3,22.2%,67.1%,0.237,17.8,34.5%,
SAS,SAS vs. DET,12/04/2017,,W,48,51.2%,0.146,18.0,22.2%,45.9%,0.282,10.1,14.6%,
BKN,BKN @ ATL,12/04/2017,,W,48,57.1%,0.176,23.2,29.3%,42.1%,0.329,17.5,18.4%,
IND,IND vs. NYK,12/04/2017,,W,48,59.9%,0.174,15.7,20.0%,47.3%,0.176,17.8,28.8%,
PHI,PHI vs. PHX,12/04/2017,,L,48,46.7%,0.176,14.1,29.5%,53.8%,0.242,11.4,30.6%,
CHA,CHA vs. ORL,12/04/2017,,W,48,42.3%,0.476,14.2,23.9%,50.0%,0.171,19.4,10.9%,
PHX,PHX @ PHI,12/04/2017,,W,48,53.8%,0.242,11.4,30.6%,46.7%,0.176,14.1,29.5%,
DET,DET @ SAS,12/04/2017,,L,48,45.9%,0.282,10.1,14.6%,51.2%,0.146,18.0,22.2%,
MIN,MIN @ MEM,12/04/2017,,L,48,46.8%,0.241,10.1,16.7%,51.4%,0.333,17.3,18.2%,
ATL,ATL vs. BKN,12/04/2017,,L,48,42.1%,0.329,17.5,18.4%,57.1%,0.176,23.2,29.3%,
BOS,BOS vs. MIL,12/04/2017,,W,48,61.5%,0.244,16.1,24.2%,50.6%,0.308,10.5,7.5%,
MEM,MEM vs. MIN,12/04/2017,,W,48,51.4%,0.333,17.3,18.2%,46.8%,0.241,10.1,16.7%,
DEN,DEN @ DAL,12/04/2017,,L,48,49.5%,0.253,7.5,28.8%,64.0%,0.198,7.3,12.8%,
MIL,MIL @ BOS,12/04/2017,,L,48,50.6%,0.308,10.5,7.5%,61.5%,0.244,16.1,24.2%,
UTA,UTA vs. WAS,12/04/2017,,W,48,67.1%,0.237,17.8,34.5%,31.3%,0.288,14.3,22.2%,
CLE,CLE @ CHI,12/04/2017,,W,48,59.9%,0.210,8.7,13.2%,47.0%,0.220,12.1,19.6%,
SAS,SAS @ OKC,12/03/2017,,L,48,46.1%,0.303,17.9,20.0%,46.0%,0.241,19.8,32.6%,
LAL,LAL vs. HOU,12/03/2017,,L,48,43.5%,0.357,19.6,23.4%,57.8%,0.189,14.2,17.1%,
OKC,OKC vs. SAS,12/03/2017,,W,48,46.0%,0.241,19.8,32.6%,46.1%,0.303,17.9,20.0%,
MIN,MIN vs. LAC,12/03/2017,,W,48,47.7%,0.352,7.4,32.6%,61.0%,0.301,17.6,22.2%,
NYK,NYK vs. ORL,12/03/2017,,L,48,48.9%,0.108,13.8,22.7%,48.8%,0.354,12.2,18.6%,
GSW,GSW @ MIA,12/03/2017,,W,48,62.5%,0.286,10.3,23.3%,49.4%,0.210,12.6,12.8%,
ORL,ORL @ NYK,12/03/2017,,W,48,48.8%,0.354,12.2,18.6%,48.9%,0.108,13.8,22.7%,
LAC,LAC @ MIN,12/03/2017,,L,48,61.0%,0.301,17.6,22.2%,47.7%,0.352,7.4,32.6%,
HOU,HOU @ LAL,12/03/2017,,W,48,57.8%,0.189,14.2,17.1%,43.5%,0.357,19.6,23.4%,
MIA,MIA vs. GSW,12/03/2017,,L,48,49.4%,0.210,12.6,12.8%,62.5%,0.286,10.3,23.3%,
DAL,DAL vs. LAC,12/02/2017,,W,48,55.7%,0.329,18.4,35.7%,38.4%,0.267,11.4,22.0%,
ATL,ATL @ BKN,12/02/2017,,W,48,52.5%,0.141,9.8,27.7%,51.8%,0.256,19.3,26.1%,
MIL,MIL vs. SAC,12/02/2017,,W,48,53.6%,0.609,16.0,25.0%,55.2%,0.273,17.5,18.2%,
LAC,LAC @ DAL,12/02/2017,,L,48,38.4%,0.267,11.4,22.0%,55.7%,0.329,18.4,35.7%,
CLE,CLE vs. MEM,12/02/2017,,W,48,63.3%,0.307,11.6,3.2%,58.9%,0.167,13.4,16.7%,
BOS,BOS vs. PHX,12/02/2017,,W,48,61.3%,0.288,9.5,11.4%,51.0%,0.109,11.8,37.2%,
SAC,SAC @ MIL,12/02/2017,,L,48,55.2%,0.273,17.5,18.2%,53.6%,0.609,16.0,25.0%,
DEN,DEN vs. LAL,12/02/2017,,W,48,52.9%,0.322,11.7,20.5%,49.4%,0.244,21.2,36.2%,
POR,POR vs. NOP,12/02/2017,,L,48,50.0%,0.105,4.7,17.0%,61.0%,0.291,11.4,10.3%,
LAL,LAL @ DEN,12/02/2017,,L,48,49.4%,0.244,21.2,36.2%,52.9%,0.322,11.7,20.5%,
PHX,PHX @ BOS,12/02/2017,,L,48,51.0%,0.109,11.8,37.2%,61.3%,0.288,9.5,11.4%,
NOP,NOP @ POR,12/02/2017,,W,48,61.0%,0.291,11.4,10.3%,50.0%,0.105,4.7,17.0%,
MEM,MEM @ CLE,12/02/2017,,L,48,58.9%,0.167,13.4,16.7%,63.3%,0.307,11.6,3.2%,
DET,DET @ PHI,12/02/2017,,L,48,49.4%,0.410,18.3,18.9%,46.5%,0.372,17.8,37.0%,
PHI,PHI vs. DET,12/02/2017,,W,48,46.5%,0.372,17.8,37.0%,49.4%,0.410,18.3,18.9%,
BKN,BKN vs. ATL,12/02/2017,,L,48,51.8%,0.256,19.3,26.1%,52.5%,0.141,9.8,27.7%,
IND,IND @ TOR,12/01/2017,,L,48,48.0%,0.216,10.2,30.0%,54.6%,0.216,11.3,27.9%,
TOR,TOR vs. IND,12/01/2017,,W,48,54.6%,0.216,11.3,27.9%,48.0%,0.216,10.2,30.0%,
MIN,MIN @ OKC,12/01/2017,,L,48,59.2%,0.276,17.7,17.1%,57.0%,0.278,20.1,39.4%,
ORL,ORL vs. GSW,12/01/2017,,L,48,51.6%,0.188,14.2,27.1%,69.3%,0.125,18.1,24.1%,
DET,DET @ WAS,12/01/2017,,L,48,50.0%,0.241,15.3,10.8%,52.2%,0.213,11.9,36.4%,
MEM,MEM vs. SAS,12/01/2017,,L,48,43.9%,0.243,17.8,18.2%,52.1%,0.457,16.3,18.9%,
OKC,OKC vs. MIN,12/01/2017,,W,48,57.0%,0.278,20.1,39.4%,59.2%,0.276,17.7,17.1%,
GSW,GSW @ ORL,12/01/2017,,W,48,69.3%,0.125,18.1,24.1%,51.6%,0.188,14.2,27.1%,
SAC,SAC @ CHI,12/01/2017,,W,48,56.5%,0.165,12.6,21.1%,53.9%,0.144,9.3,18.6%,
CHA,CHA @ MIA,12/01/2017,,L,48,51.3%,0.266,21.9,25.0%,57.5%,0.263,21.5,23.1%,
NOP,NOP @ UTA,12/01/2017,,L,48,56.9%,0.172,10.2,13.6%,56.5%,0.294,9.3,18.2%,
SAS,SAS @ MEM,12/01/2017,,W,48,52.1%,0.457,16.3,18.9%,43.9%,0.243,17.8,18.2%,
WAS,WAS vs. DET,12/01/2017,,W,48,52.2%,0.213,11.9,36.4%,50.0%,0.241,15.3,10.8%,
MIA,MIA vs. CHA,12/01/2017,,W,48,57.5%,0.263,21.5,23.1%,51.3%,0.266,21.9,25.0%,
UTA,UTA vs. NOP,12/01/2017,,W,48,56.5%,0.294,9.3,18.2%,56.9%,0.172,10.2,13.6%,
CHI,CHI vs. SAC,12/01/2017,,L,48,53.9%,0.144,9.3,18.6%,56.5%,0.165,12.6,21.1%,
DEN,DEN vs. CHI,11/30/2017,,W,48,53.0%,0.373,12.3,24.4%,59.1%,0.256,11.4,15.4%,
PHI,PHI @ BOS,11/30/2017,,L,48,51.2%,0.214,19.8,31.3%,58.2%,0.253,17.4,18.9%,
CLE,CLE @ ATL,11/30/2017,,W,48,63.3%,0.342,20.2,36.4%,59.5%,0.304,18.1,22.2%,
MIL,MIL @ POR,11/30/2017,,W,48,51.7%,0.172,10.1,11.1%,45.8%,0.205,19.1,25.0%,
BOS,BOS vs. PHI,11/30/2017,,W,48,58.2%,0.253,17.4,18.9%,51.2%,0.214,19.8,31.3%,
LAC,LAC vs. UTA,11/30/2017,,L,48,61.4%,0.429,20.6,30.3%,67.6%,0.165,13.8,27.8%,
CHI,CHI @ DEN,11/30/2017,,L,48,59.1%,0.256,11.4,15.4%,53.0%,0.373,12.3,24.4%,
POR,POR vs. MIL,11/30/2017,,L,48,45.8%,0.205,19.1,25.0%,51.7%,0.172,10.1,11.1%,
UTA,UTA @ LAC,11/30/2017,,W,48,67.6%,0.165,13.8,27.8%,61.4%,0.429,20.6,30.3%,
ATL,ATL vs. CLE,11/30/2017,,L,48,59.5%,0.304,18.1,22.2%,63.3%,0.342,20.2,36.4%,
IND,IND @ HOU,11/29/2017,,L,48,51.7%,0.068,14.2,13.3%,59.3%,0.244,15.8,25.0%,
LAL,LAL vs. GSW,11/29/2017,,L,53,54.2%,0.263,14.7,15.9%,56.4%,0.298,18.9,30.8%,
DAL,DAL vs. BKN,11/29/2017,,L,48,51.8%,0.250,11.3,15.6%,52.8%,0.278,13.9,27.5%,
HOU,HOU vs. IND,11/29/2017,,W,48,59.3%,0.244,15.8,25.0%,51.7%,0.068,14.2,13.3%,
PHI,PHI vs. WAS,11/29/2017,,W,48,47.5%,0.790,16.2,42.9%,45.5%,0.416,10.1,14.0%,
TOR,TOR vs. CHA,11/29/2017,,W,48,60.2%,0.112,8.9,27.5%,52.5%,0.443,12.9,20.0%,
CHA,CHA @ TOR,11/29/2017,,L,48,52.5%,0.443,12.9,20.0%,60.2%,0.112,8.9,27.5%,
DET,DET vs. PHX,11/29/2017,,W,48,64.6%,0.236,16.9,14.7%,50.6%,0.333,19.2,17.0%,
PHX,PHX @ DET,11/29/2017,,L,48,50.6%,0.333,19.2,17.0%,64.6%,0.236,16.9,14.7%,
NYK,NYK vs. MIA,11/29/2017,,W,48,63.7%,0.356,20.7,26.7%,44.0%,0.238,15.2,17.0%,
WAS,WAS @ PHI,11/29/2017,,L,48,45.5%,0.416,10.1,14.0%,47.5%,0.790,16.2,42.9%,
NOP,NOP vs. MIN,11/29/2017,,L,48,54.8%,0.131,17.4,19.0%,63.6%,0.235,18.5,33.3%,
ORL,ORL vs. OKC,11/29/2017,,W,48,67.8%,0.342,14.1,6.9%,45.8%,0.313,12.8,37.5%,
BKN,BKN @ DAL,11/29/2017,,W,48,52.8%,0.278,13.9,27.5%,51.8%,0.250,11.3,15.6%,
MEM,MEM @ SAS,11/29/2017,,L,48,52.6%,0.208,18.9,28.9%,56.0%,0.320,13.0,16.1%,
MIN,MIN @ NOP,11/29/2017,,W,48,63.6%,0.235,18.5,33.3%,54.8%,0.131,17.4,19.0%,
OKC,OKC @ ORL,11/29/2017,,L,48,45.8%,0.313,12.8,37.5%,67.8%,0.342,14.1,6.9%,
MIA,MIA @ NYK,11/29/2017,,L,48,44.0%,0.238,15.2,17.0%,63.7%,0.356,20.7,26.7%,
GSW,GSW @ LAL,11/29/2017,,W,53,56.4%,0.298,18.9,30.8%,54.2%,0.263,14.7,15.9%,
SAS,SAS vs. MEM,11/29/2017,,W,48,56.0%,0.320,13.0,16.1%,52.6%,0.208,18.9,28.9%,
DEN,DEN @ UTA,11/28/2017,,L,48,40.4%,0.205,19.8,26.1%,56.3%,0.103,11.8,23.1%,
SAC,SAC vs. MIL,11/28/2017,,L,48,43.5%,0.377,18.2,19.6%,65.5%,0.437,12.5,3.1%,
WAS,WAS @ MIN,11/28/2017,,W,48,49.4%,0.205,7.9,20.0%,47.1%,0.165,11.3,27.1%,
MIL,MIL @ SAC,11/28/2017,,W,48,65.5%,0.437,12.5,3.1%,43.5%,0.377,18.2,19.6%,
CLE,CLE vs. MIA,11/28/2017,,W,48,56.2%,0.284,14.0,12.8%,50.0%,0.238,15.0,16.7%,
CHI,CHI vs. PHX,11/28/2017,,L,48,48.9%,0.106,9.1,17.0%,50.0%,0.264,15.1,28.9%,
MIA,MIA @ CLE,11/28/2017,,L,48,50.0%,0.238,15.0,16.7%,56.2%,0.284,14.0,12.8%,
MIN,MIN vs. WAS,11/28/2017,,L,48,47.1%,0.165,11.3,27.1%,49.4%,0.205,7.9,20.0%,
PHX,PHX @ CHI,11/28/2017,,W,48,50.0%,0.264,15.1,28.9%,48.9%,0.106,9.1,17.0%,
UTA,UTA vs. DEN,11/28/2017,,W,48,56.3%,0.103,11.8,23.1%,40.4%,0.205,19.8,26.1%,
CLE,CLE @ PHI,11/27/2017,,W,48,56.4%,0.233,12.5,26.2%,39.1%,0.208,14.5,38.6%,
SAS,SAS vs. DAL,11/27/2017,,W,48,58.5%,0.256,10.3,10.0%,56.5%,0.200,11.1,9.3%,
POR,POR @ NYK,11/27/2017,,W,48,48.8%,0.313,11.8,11.9%,42.6%,0.250,13.4,25.9%,
BOS,BOS vs. DET,11/27/2017,,L,48,62.3%,0.273,17.3,13.5%,58.2%,0.271,8.4,20.5%,
ORL,ORL @ IND,11/27/2017,,L,48,52.2%,0.174,14.4,22.2%,62.7%,0.329,16.3,24.2%,
BKN,BKN @ HOU,11/27/2017,,L,48,52.3%,0.198,13.8,15.0%,60.5%,0.233,14.7,17.8%,
PHI,PHI vs. CLE,11/27/2017,,L,48,39.1%,0.208,14.5,38.6%,56.4%,0.233,12.5,26.2%,
IND,IND vs. ORL,11/27/2017,,W,48,62.7%,0.329,16.3,24.2%,52.2%,0.174,14.4,22.2%,
GSW,GSW vs. SAC,11/27/2017,,L,48,60.0%,0.175,16.3,26.5%,58.9%,0.266,16.3,28.9%,
DET,DET @ BOS,11/27/2017,,W,48,58.2%,0.271,8.4,20.5%,62.3%,0.273,17.3,13.5%,
NYK,NYK vs. POR,11/27/2017,,L,48,42.6%,0.250,13.4,25.9%,48.8%,0.313,11.8,11.9%,
SAC,SAC @ GSW,11/27/2017,,W,48,58.9%,0.266,16.3,28.9%,60.0%,0.175,16.3,26.5%,
LAL,LAL @ LAC,11/27/2017,,L,48,54.4%,0.264,15.2,26.1%,54.1%,0.353,16.2,24.4%,
DAL,DAL @ SAS,11/27/2017,,L,48,56.5%,0.200,11.1,9.3%,58.5%,0.256,10.3,10.0%,
LAC,LAC vs. LAL,11/27/2017,,W,48,54.1%,0.353,16.2,24.4%,54.4%,0.264,15.2,26.1%,
HOU,HOU vs. BKN,11/27/2017,,W,48,60.5%,0.233,14.7,17.8%,52.3%,0.198,13.8,15.0%,
CHI,CHI vs. MIA,11/26/2017,,L,48,44.9%,0.180,14.4,13.7%,54.0%,0.307,13.4,2.4%,
PHX,PHX @ MIN,11/26/2017,,L,48,58.2%,0.141,16.8,27.5%,57.5%,0.183,14.7,42.2%,
MIN,MIN vs. PHX,11/26/2017,,W,48,57.5%,0.183,14.7,42.2%,58.2%,0.141,16.8,27.5%,
